text,text_pair,label
['Why was NBC unable to broadcast the coronation of Queen Elizabeth II?'],"[""The first attempts to internationalize the ABC television network date back to the 1950s, after Leonard Goldenson, following the United Paramount Theatres model, tried to use on ABC the same strategies he had made in expanding UPT's theater operation to the international market.""]",[0]
['The Taliban was so different from other moments that they could be more accurately described as being what?'],"['Their ideology was also described as being influenced by Wahhabism, and the extremist jihadism of their guest Osama bin Laden.']",[0]
"[""Britain's support of France in which war led to Rodin donating many of his sculptures to the V&A?""]","[""Rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside France; these were given to the museum by the sculptor in 1914, as acknowledgement of Britain's support of France in World War I, although the statue of St John the Baptist had been purchased in 1902 by public subscription.""]",[1]
['When was Luther examined at Augsburg by the papal legate?'],"['There, in October 1518, under questioning by papal legate Cardinal Cajetan Luther stated that he did not consider the papacy part of the biblical Church because historistical interpretation of Bible prophecy concluded that the papacy was the Antichrist.']",[1]
['How many seats did the SNP take from the Liberal Democrats?'],['The SNP took a further eight seats from the Liberal Democrats and one seat from the Conservatives.'],[1]
"['Which Panthers player got a penalty, which gave the Broncos a new set of downs?']","[""Meanwhile, Denver's offense was kept out of the end zone for three plays, but a holding penalty on cornerback Josh Norman gave the Broncos a new set of downs.""]",[1]
['What industry has managed to survive major military spending cutbacks?'],"['Since the 1920s, motion pictures, petroleum and aircraft manufacturing have been major industries.']",[0]
['What did the Court of Justice say Steymann was entitled to?'],"['The Court of Justice held that Mr Steymann was entitled to stay, so long as there was at least an ""indirect quid pro quo"" for the work he did.']",[1]
"[""What's the regional nickname for Newcastle and its surrounding area?""]","['Newcastle was part of the county of Northumberland until 1400, when it became a county itself, a status it retained until becoming part of Tyne and Wear in 1974.[not in citation given]']",[0]
['How many awards has Doctor Who won?'],['Doctor Who star Matt Smith won Best Actor in the 2012 National Television awards alongside Karen Gillan who won Best Actress.'],[0]
['Where does a private school get funding to operate?'],"[""In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.""]",[0]
['What was the theorized maximum population density per square kilometre for the Amazon rainforest?'],"['She claimed that a population density of 0.2 inhabitants per square kilometre (0.52/sq mi) is the maximum that can be sustained in the rainforest through hunting, with agriculture needed to host a larger population.']",[1]
['Was is the name of the Torchwood series that was mostly based in the US?'],"['A fourth series, Torchwood: Miracle Day jointly produced by BBC Wales, BBC Worldwide and the American entertainment company Starz debuted in 2011.']",[1]
['Why were Southern Chinese ranked lower?'],"['The earlier they surrendered to the Mongols, the higher they were placed, the more the held out, the lower they were ranked.']",[0]
"[""What did Kllbrandon's report in 1973 recommend establishing?""]","[""Suggestions for a 'devolved' Parliament were made before 1914, but were shelved due to the outbreak of the First World War.""]",[0]
['The region spans starting at islands found in which body of water?'],"['The region spans from Pacific Ocean islands, shorelines, beaches, and coastal plains, through the Transverse and Peninsular Ranges with their peaks, into the large and small interior valleys, to the vast deserts of California.']",[1]
['When did Tamara marry a lawyer?'],['No one will ever see the Warsaw I knew.'],[0]
['What type of plea is sometimes taken as an act of disobedience?'],"['But some activists have opted to enter a blind plea, pleading guilty without any plea agreement in place.']",[1]
['Where was Tesla studying when he started playing cards and billiards?'],"['During his second year of study at Graz, Tesla developed a passion for (and became very proficient at) billiards, chess and card-playing, sometimes spending more than 48 hours in a stretch at a gaming table.:43, 301']",[1]
"[""What year did Börte's give birth to Jochi?""]","[""Soon after Börte's marriage to Temüjin, she was kidnapped by the Merkits and reportedly given away as a wife.""]",[0]
"['What ""war"" was Tesla involved in?']","['His work in the formative years of electric power development was involved in a corporate alternating current/direct current ""War of Currents"" as well as various patent battles.']",[1]
['Which findings suggested that the region was densely populated?'],"['However, recent anthropological findings have suggested that the region was actually densely populated.']",[1]
['How many residents does the greater metropolitan area have?'],['Warsaw (Polish: Warszawa [varˈʂava] ( listen); see also other names) is the capital and largest city of Poland.'],[0]
['What would need to remain constant in a multiplication algorithm to produce the same outcome whether multiplying or squaring two integers?'],"['For example, the problem of squaring an integer can be reduced to the problem of multiplying two integers.']",[0]
['How many touchdowns did Manning throw in the game?'],"['Linebacker Luke Kuechly had 11 total tackles, while Thomas Davis had seven, despite playing just two weeks after breaking his right arm in the NFC title game.']",[0]
['Full size working engines on what vehicles sometimes use oscillating cylinder steam engines?'],['An oscillating cylinder steam engine is a variant of the simple expansion steam engine which does not require valves to direct steam into and out of the cylinder.'],[0]
['What are the two major thoroughfares of Sunnyside?'],"['Although parts of Sunnyside are within the City of Fresno, much of the neighborhood is a ""county island"" within Fresno County.']",[0]
"[""Where did the pharmacist stand in relation to the Emperor's personal physicians?""]","['In this highly stable hierarchy, the pharmacists—and even pharmacist assistants—were assigned status superior to all others in health-related fields such as physicians and acupuncturists.']",[0]
['How did the new king react to the Huguenots?'],['Louis XIV gained the throne in 1643 and acted increasingly aggressively to force the Huguenots to convert.'],[1]
['How old most a person be to apply to be an MSP?'],"['As in the House of Commons, a number of qualifications apply to being an MSP.']",[0]
"[""What kind of fiction is Tesla's work featured in?""]","[""Tesla's legacy has endured in books, films, radio, TV, music, live theater, comics and video games.""]",[0]
['What factors negatively impacted Jacksonville following the war?'],['Warfare and the long occupation left the city disrupted after the war.'],[1]
"[""What did the BankAmericard allow customers do to that they couldn't do with previous financial instruments?""]","['In 1976, BankAmericard was renamed and spun off into a separate company known today as Visa Inc.']",[0]
['How accurate did Guo make the reformed lunisolar calendar?'],"[""Among Kublai Khan's top engineers and scientists was the astronomer Guo Shoujing, who was tasked with many public works projects and helped the Yuan reform the lunisolar calendar to provide an accuracy of 365.2425 days of the year, which was only 26 seconds off the modern Gregorian calendar's measurement.""]",[1]
['What is the natural dam that the Rhine flows through?'],"['Near Sargans a natural dam, only a few metres high, prevents it from flowing into the open Seeztal valley and then through Lake Walen and Lake Zurich into the river Aare.']",[1]
['What does connecting different Sky Q boxes enable them to do?'],['This allows all set top boxes in a household to share recordings and other media.'],[1]
['Where is the neighborhood of Sunnyside located in Fresno?'],"['Although parts of Sunnyside are within the City of Fresno, much of the neighborhood is a ""county island"" within Fresno County.']",[0]
['President Johnson issued an executive order to rename the Launch Operations Center after whom?'],"['But an even bigger facility would be needed for the mammoth rocket required for the manned lunar mission, so land acquisition was started in July 1961 for a Launch Operations Center (LOC) immediately north of Canaveral at Merritt Island.']",[0]
['What series years are available on Blu-ray?'],"['Only the series from 2009 onwards are available on Blu-ray, except for the 1970 story Spearhead from Space, released in July 2013.']",[1]
['Why has Warsaw seen many improvements over the past decade?'],"['However, over the past decade Warsaw has seen many improvements due to solid economic growth, an increase in foreign investment as well as funding from the European Union.']",[1]
['What are apicoplasts missing?'],"['The most important apicoplast function is isopentenyl pyrophosphate synthesis—in fact, apicomplexans die when something interferes with this apicoplast function, and when apicomplexans are grown in an isopentenyl pyrophosphate-rich medium, they dump the organelle.']",[0]
['Where was the disease spreading between 1348 and 1350?'],"['It was introduced in Norway in 1349 when a ship landed at Askøy, then spread to Bjørgvin (modern Bergen) and Iceland.']",[0]
['What is the term for catching the motivation expressed by the teacher?'],"['Finally, the concept of emotional contagion, may also apply.']",[1]
['What has been characterized as Arminian theology with an emphasis on the work of the Holy Spirit?'],"['Wesleyan theology stands at a unique cross-roads between evangelical and sacramental, between liturgical and charismatic, and between Anglo-Catholic and Reformed theology and practice.']",[1]
['Who won the MVP for the Super Bowl?'],['The Broncos took an early lead in Super Bowl 50 and never trailed.'],[0]
"['Along with solar, coal and nuclear, what sort of plants notable use the Rankine process?']","['The cycle is an arrangement of components as is typically used for simple power production, and utilizes the phase change of water (boiling water producing steam, condensing exhaust steam, producing liquid water)) to provide a practical heat/power conversion system.']",[0]
['What earlier market did the Grainger Market replace?'],"[""The Grainger Market itself, was opened in 1835 and was Newcastle's first indoor market.""]",[0]
['What was Joseph Haas arrested for?'],"['An example would be WBAI\'s broadcasting the track ""Filthy Words"" from a George Carlin comedy album, which eventually led to the 1978 Supreme Court case of FCC v. Pacifica Foundation.']",[0]
['When did Astor provide the money?'],"['Instead, Tesla used the money to fund his Colorado Springs experiments.']",[0]
['What is the low end of the temperature range in summer?'],"['But snow is very rare in the Southwest of the state, it occurs on the Southeast of the state.']",[0]
['How many granal thylakoids are usually in each granum?'],"['Each granum can contain anywhere from two to a hundred thylakoids, though grana with 10–20 thylakoids are most common.']",[1]
['When did Tesla graduate?'],"['Tesla was able to perform integral calculus in his head, which prompted his teachers to believe that he was cheating.']",[0]
['How much of the water flow does the Waal get from the Rhine?'],"['Two thirds of the water flow volume of the Rhine flows farther west, through the Waal and then, via the Merwede and Nieuwe Merwede (De Biesbosch), merging with the Meuse, through the Hollands Diep and Haringvliet estuaries, into the North Sea.']",[1]
['What is one of the largest city center shopping complexes in the UK?'],"['The largest of these is the Eldon Square Shopping Centre, one of the largest city centre shopping complexes in the UK.']",[1]
['What city is tied with Miami for hosting the Super Bowl?'],"['The South Florida/Miami area has previously hosted the event 10 times (tied for most with New Orleans), with the most recent one being Super Bowl XLIV in 2010.']",[1]
['What is the Norman architecture idiom?'],['Norman architecture typically stands out as a new stage in the architectural history of the regions they subdued.'],[0]
['How did Vaudreuil react when Johnson was seen as larger threat?'],"['When Johnson was seen as the larger threat, Vaudreuil sent Dieskau to Fort St. Frédéric to meet that threat.']",[1]
"['After the merger of Disney-ABC Television group, ABC Studios, and ABC Entertainment, what was the resulting entity named?']","['In early 2009, Disney–ABC Television Group merged ABC Entertainment and ABC Studios into a new division, ABC Entertainment Group, which would be responsible for both its production and broadcasting operations.']",[1]
"['When was the opening of ""Super Bowl City""?']","['San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave"".']",[0]
['Where were interviews held while the parliament was in its temporary building?'],"[""This building was vacated twice to allow for the meeting of the Church's General Assembly.""]",[0]
['What profession was Nathan Alterman?'],['No one will ever see the Warsaw I knew.'],[0]
['When did Carl Wilhelm Scheele discover oxygen?'],"['Oxygen was discovered independently by Carl Wilhelm Scheele, in Uppsala, in 1773 or earlier, and Joseph Priestley in Wiltshire, in 1774, but Priestley is often given priority because his work was published first.']",[1]
['Who is also known at the father of the hydrogen bomb?'],"['Notable faculty in physics have included the speed of light calculator A. A. Michelson, elementary charge calculator Robert A. Millikan, discoverer of the Compton Effect Arthur H. Compton, the creator of the first nuclear reactor Enrico Fermi, ""the father of the hydrogen bomb"" Edward Teller, ""one of the most brilliant and productive experimental physicists of the twentieth century']",[1]
['It is now possible to convert old relative ages into what type of ages using isotopic dating?'],"['With isotopic dates it became possible to assign absolute ages to rock units, and these absolute dates could be applied to fossil sequences in which there was datable material, converting the old relative ages into new absolute ages.']",[1]
['What lesson did Johann von Staupitz teach Luther  repentance was?'],"[""Johann von Staupitz, his superior, pointed Luther's mind away from continual reflection upon his sins toward the merits of Christ.""]",[0]
"[""What river is near Genghis Khan's likely place of burial?""]","['The Genghis Khan Mausoleum, constructed many years after his death, is his memorial, but not his burial site.']",[0]
['Who did the SNP obtain 16 seats from?'],['The SNP took a further eight seats from the Liberal Democrats and one seat from the Conservatives.'],[0]
['What type of technology is the non organic separating of gases?'],"['The other major method of producing O_2 gas involves passing a stream of clean, dry air through one bed of a pair of identical zeolite molecular sieves, which absorbs the nitrogen and delivers a gas stream that is 90% to 93% O_2.']",[0]
"['What was originally on the spacesuits prior to the clear ""fishbowl"" helmet?']","['The traditional visor helmet was replaced with a clear ""fishbowl"" type for greater visibility, and the lunar surface EVA suit would include a water-cooled undergarment.']",[1]
['Who said chloroplasts are similar to cyanobacteria?'],['Chloroplasts are only found in plants and algae.'],[0]
['Who brought together the former rivals at the signing ceremony?'],"[""The world watched Annan and his UN-backed panel and African Union chairman Jakaya Kikwete as they brought together the former rivals to the signing ceremony, beamed live on national TV from the steps of Nairobi's Harambee House.""]",[1]
['Where does Warsaw rank in terms of population in the EU?'],['Warsaw (Polish: Warszawa [varˈʂava] ( listen); see also other names) is the capital and largest city of Poland.'],[0]
['What is the lowest recorded temperature in Victoria?'],['Temperature extremes for the state are listed in the table below:'],[0]
['What do power station steam turbines use as a cold sink in the absence of CHP?'],"['Where CHP is not used, steam turbines in power stations use surface condensers as a cold sink.']",[1]
"[""Of what form is the infinite amount of primes that comprise the special cases of Schinzel's hypothesis?""]",['It is conjectured there are infinitely many primes of the form n2 + 1.'],[1]
['What did Johann Eck call Luther?'],"[""The theologian Johann Eck, however, was determined to expose Luther's doctrine in a public forum.""]",[0]
['How many women were employed in construction in 2011?'],"['In the United States, the industry in 2014 has around $960 billion in annual revenue according to statistics tracked by the Census Bureau, of which $680 billion is private (split evenly between residential and nonresidential) and the remainder is government.']",[0]
['Where is the aboral organ located?'],['The largest single sensory feature is the aboral organ (at the opposite end from the mouth).'],[1]
['What vehicle did Doctor Who use for his escape from Gallifrey?'],"['Doctor Who follows the adventures of the primary character, a rogue Time Lord from the planet Gallifrey, who simply goes by the name ""The Doctor"".']",[0]
['How many plant species are of interest to society and manufacturers exist in the amazon rainforest?'],"['To date, an estimated 438,000 species of plants of economic and social interest have been registered in the region with many more remaining to be discovered or catalogued.']",[1]
['In what year did Harvard end its early admission program?'],"['Undergraduate admission to Harvard is characterized by the Carnegie Foundation as ""more selective, lower transfer-in"".']",[0]
"[""Whose authority did Luther's theology oppose?""]","[""Those who identify with these, and all of Luther's wider teachings, are called Lutherans even though Luther insisted on Christian or Evangelical as the only acceptable names for individuals who professed Christ.""]",[0]
"['Prior to this consideration, when did San Francisco last host a Super Bowl?']","['The South Florida/Miami area has previously hosted the event 10 times (tied for most with New Orleans), with the most recent one being Super Bowl XLIV in 2010.']",[0]
['What is one method of achieving aspirational consumption?'],"['If the state does not provide these services, then for those on lower incomes, the costs must be borrowed and often those on lower incomes are those who are worse equipped to manage their finances.']",[0]
['What did Article 12 of the Allied Armistice terms require Germany to withdraw from?'],"['Germany did so, and underground leader Piłsudski returned to Warsaw on 11 November and set up what became the Second Polish Republic, with Warsaw the capital.']",[0]
['In which two codes were the roles of pharmacists codified?'],"['In Japan, at the end of the Asuka period (538–710) and the early Nara period (710–794), the men who fulfilled roles similar to those of modern pharmacists were highly respected.']",[0]
"['After Apollo missions 18 and 19 were cancelled, what happened to the Saturn Vs that were never used?']","['By 1971, the decision was made to also cancel missions 18 and 19.']",[0]
['What are the three main sources of European Union law?'],"['The three sources of European Union law are primary law, secondary law and supplementary law.']",[1]
['What are other alternative names for French and Indian War?'],"['Other, less frequently used names for the war include the Fourth Intercolonial War and the Great War for the Empire.']",[1]
['Where is corporal punishment practiced the most?'],"[""This often used to take place in the classroom or hallway, but nowadays the punishment is usually given privately in the principal's office.""]",[0]
['Who shared sideline reporting duties with Mark Malone?'],"['Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline reporters.']",[1]
['In the most basic sense what did a Turing machine emulate?'],"['Before the actual research explicitly devoted to the complexity of algorithmic problems started off, numerous foundations were laid out by various researchers.']",[0]
['What do those in the field do to ensure a positive outcome?'],"['Often, the owner of the property acts as laborer, paymaster, and design team for the entire project.']",[0]
['When did oil start getting priced in the terms of gold?'],"['In September 1971, OPEC issued a joint communiqué stating that, from then on, they would price oil in terms of a fixed amount of gold.']",[1]
['When was the outbreak of World War I?'],"['Lt Col Paul von Lettow-Vorbeck took command of the German military forces, determined to tie down as many British resources as possible.']",[0]
"[""Who is Antigone's father in the play?""]","['She is not at all afraid of the death he threatens her with (and eventually carries out), but she is afraid of how her conscience will smite her if she does not do this.']",[0]
"[""How was Tesla's mechanical oscillator powered?""]","[""Tesla invented a steam-powered mechanical oscillator—Tesla's oscillator.""]",[1]
['Manning was the number one pick in which draft?'],['This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes.'],[0]
['Who challenges the notion of the Kuznets curve hypothesis?'],"['Economist Thomas Piketty challenges this notion, claiming that from 1914 to 1945 wars and ""violent economic and political shocks"" reduced inequality.']",[1]
"[""What did Kublai's government have to balance between?""]","[""Kublai's government after 1262 was a compromise between preserving Mongol interests in China and satisfying the demands of his Chinese subjects.""]",[1]
['For how many years was evidence shown that humans shaped the the Amazon?'],"[""The BBC's Unnatural Histories presented evidence that the Amazon rainforest, rather than being a pristine wilderness, has been shaped by man for at least 11,000 years through practices such as forest gardening and terra preta.""]",[1]
['What is stratigraphy?'],"['In typical geological investigations, geologists use primary information related to petrology (the study of rocks), stratigraphy (the study of sedimentary layers), and structural geology (the study of positions of rock units and their deformation).']",[1]
['Who covered the halftime coverage?'],"['Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline reporters.']",[0]
['When was Geegen the emperor?'],"[""Emperor Gegeen Khan, Ayurbarwada's son and successor, ruled for only two years, from 1321 to 1323.""]",[1]
['Different committees have what set out in different ways?'],"[""Mandatory Committees are committees which are set down under the Scottish Parliament's standing orders, which govern their remits and proceedings.""]",[0]
"['Who said Tesla had a ""distinguished sweetness""?']","['His loyal secretary, Dorothy Skerrit, wrote: ""his genial smile and nobility of bearing always denoted the gentlemanly characteristics that were so ingrained in his soul.""']",[0]
"[""At Millingen aan de Rijn where the Rhine splits, what does it change it's name to?""]","['The shape of the Rhine delta is determined by two bifurcations: first, at Millingen aan de Rijn, the Rhine splits into Waal and Pannerdens Kanaal, which changes its name to Nederrijn at Angeren, and second near Arnhem, the IJssel branches off from the Nederrijn.']",[1]
"['In 2013-14, NBC finished behind what network in the ratings?']",['ABC itself would finish the season in third place as Fox crashed to fourth in both demographics.'],[0]
['What area did the Westwood One broadcast cover?'],"['Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline reporters.']",[1]
['Where was the Gate of King Hugo?'],"['It was in this place in Tours that the prétendus réformés (""these supposedly \'reformed\'"") habitually gathered at night, both for political purposes, and for prayer and singing psalms.']",[1]
['When did Barton and Whitfield demand climate research records?'],"['On 23 June 2005, Rep. Joe Barton, chairman of the House Committee on Energy and Commerce wrote joint letters with Ed Whitfield, Chairman of the Subcommittee on Oversight and Investigations demanding full records on climate research, as well as personal information about their finances and careers, from Mann, Bradley and Hughes.']",[1]
['What was AUSTPAC'],['AUSTPAC was an Australian public X.25 network operated by Telstra.'],[1]
['What is floridean?'],"['The red phycoerytherin pigment is an adaptation to help red algae catch more sunlight in deep water—as such, some red algae that live in shallow water have less phycoerytherin in their rhodoplasts, and can appear more greenish.']",[0]
['Working versions of 3D-printing building technology are already printing how much building material per hour?'],"['New techniques of building construction are being researched, made possible by advances in 3D printing technology.']",[0]
['Of what form do Mersenne primes take?'],['They are called Mersenne primes in his honor.'],[0]
['How much of Jacksonville is made up of water?'],"['Nassau County lies to the north, Baker County lies to the west, and Clay and St. Johns County lie to the south; the Atlantic Ocean lies to the east, along with the Jacksonville Beaches.']",[0]
['What was the number of customers that the BBC  reported had yet to receive the service due to failed deliveries?'],"['Prior to its launch, BSkyB claimed that 40,000 people had registered to receive the HD service.']",[0]
['What is the low end of the temperature range in summer?'],"[""In the summers, temperature ranges are 90-60's while as winters are 70-50's, usually all of Southern California have Mediterranean climate.""]",[1]
['Which video gaming company debuted their ad for the first time during Super Bowl 50?'],"['Nintendo and The Pokémon Company also made their Super Bowl debut, promoting the 20th anniversary of the Pokémon video game and media franchise.']",[1]
['What player played in the Super Bowl after breaking his arm two weeks before?'],"['Linebacker Luke Kuechly had 11 total tackles, while Thomas Davis had seven, despite playing just two weeks after breaking his right arm in the NFC title game.']",[1]
['What type of interpretation of Islam does Salafism promote?'],"['The interpretation of Islam promoted by this funding was the strict, conservative Saudi-based Wahhabism or Salafism.']",[1]
['When did Germany found their first settlement?'],"['The establishment of the German colonial empire proceeded smoothly, starting with German New Guinea in 1884.']",[1]
"[""Which pair of Genghis Khan's sons were most rivalrous?""]",['Genghis Khan was aware of the friction between his sons (particularly between Chagatai and Jochi) and worried of possible conflict between them if he died.'],[1]
"['What states that United Methodist theology is at once ""catholic, evangelical and reformed?""']","['Therefore, according to The Book of Discipline, United Methodist theology is at once ""catholic, evangelical, and reformed.""']",[1]
['When was he elected by Nixon?'],"['In 1973, Nixon named William E. Simon as the first Administrator of the Federal Energy Office, a short-term organization created to coordinate the response to the embargo.']",[1]
"[""Which of ABC's main production facilities is located in New York City?""]","['Since the 1950s, ABC has had two main production facilities: the ABC Television Center (now The Prospect Studios) on Prospect Avenue in Hollywood, California, shared with the operations of KABC-TV until 1999; and the ABC Television Center, East, a set of studios located throughout the New York City.']",[1]
['What is the highest point of the Rhine basin called?'],"[""The Aare more than doubles the Rhine's water discharge, to an average of nearly 1,000 m3/s (35,000 cu ft/s), and provides more than a fifth of the discharge at the Dutch border.""]",[0]
['When were the two finalists for hosting Super Bowl 50 announced?'],"['The South Florida/Miami area has previously hosted the event 10 times (tied for most with New Orleans), with the most recent one being Super Bowl XLIV in 2010.']",[0]
"['According to the humoral theory of immunity, what were the bodies immune agents?']","['In contrast, the humoral theory of immunity, held, among others, by Robert Koch and Emil von Behring, stated that the active immune agents were soluble components (molecules) found in the organism’s “humors” rather than its cells.']",[1]
['What was the name of the 2007 Christmas special?'],"['A new arrangement of the theme, once again by Gold, was introduced in the 2007 Christmas special episode, ""Voyage of the Damned""; Gold returned as composer for the 2010 series.']",[1]
['What is the minimum amount of time before a bill can go into law?'],"['However he cannot do so until a 4-week period has elapsed, during which the Law Officers of the Scottish Government or UK Government can refer the bill to the Supreme Court of the United Kingdom for a ruling on whether it is within the powers of the Parliament.']",[1]
['What did Lempicka represent better than anyone else?'],['No one will ever see the Warsaw I knew.'],[0]
['How many times did Newcastle fight off the Scots during the 14th century?'],"['Newcastle was successfully defended against the Scots three times during the 14th century, and was created a county corporate with its own sheriff by Henry IV in 1400.']",[1]
['A function problem is an example of what?'],"[""A function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it isn't just yes or no.""]",[1]
['What previous work did Lavoisier experiments discredit?'],"['Oxygen was discovered independently by Carl Wilhelm Scheele, in Uppsala, in 1773 or earlier, and Joseph Priestley in Wiltshire, in 1774, but Priestley is often given priority because his work was published first.']",[0]
['By what method did Maududi want to change the hearts and minds of individuals?'],"['Maududi also believed that Muslim society could not be Islamic without Sharia, and Islam required the establishment of an Islamic state.']",[0]
['What fields of study were advanced during the Yuan?'],"['Confucian governmental practices and examinations based on the Classics, which had fallen into disuse in north China during the period of disunity, were reinstated by the Yuan court, probably in the hope of maintaining order over Han society.']",[0]
['What are apicoplasts missing?'],"['Apicoplasts have lost all photosynthetic function, and contain no photosynthetic pigments or true thylakoids.']",[1]
['What condition what must be satisfied in order for 1/p to be expressed in base q instead of base 10 and still have a period of p - 1?'],"[""The fraction 1/p expressed likewise in base q (rather than base 10) has similar effect, provided that p is not a prime factor of q. Wilson's theorem says that an integer p > 1 is prime if and only if the factorial (p − 1)! + 1 is divisible by p.""]",[1]
['When did the Rhine become borders with Francia?'],"[""The Alsace on the left banks of the Upper Rhine was sold to Burgundy by Archduke Sigismund of Austria in 1469 and eventually fell to France in the Thirty Years' War.""]",[0]
"['Motion pictures, petroleum and aircraft manufacturing have been major industries since which decade?']","['Since the 1920s, motion pictures, petroleum and aircraft manufacturing have been major industries.']",[1]
['What lake connects the Rhine to Lake Constance?'],"['Lake Constance consists of three bodies of water: the Obersee (""upper lake""), the Untersee (""lower lake""), and a connecting stretch of the Rhine, called the Seerhein (""Lake Rhine"").']",[1]
['The WJZ callsign would then be assigned to an ABC affiliate in what city in 1959?'],['The WABC call letters were previously used by the flagship station of CBS Radio (now WCBS (AM)) until 1946.'],[0]
"['By the opening of the 2008 General Conference, what was the total UMC membership?']","['Given current trends in the UMC—with overseas churches growing, especially in Africa, and U.S. churches collectively losing about 1,000 members a week—it has been estimated that Africans will make up at least 30% of the delegates at the 2012 General Conference, and it is also possible that 40% of the delegates will be from outside the U.S. One Congolese bishop has estimated that typical Sunday attendance of the UMC is higher in his country than in the entire United States.']",[0]
['In what direction does the mountain system extend?'],['Temperature extremes for the state are listed in the table below:'],[0]
['How many volumes does the John Crerar Library roughly hold?'],"['Harper Memorial Library no longer contains any volumes; however it is, in addition to the Regenstein Library, a 24-hour study space on campus.']",[0]
['To what extent did Fermat confirm the validity of Fermat numbers?'],['Fermat also conjectured that all numbers of the form 22n + 1 are prime (they are called Fermat numbers) and he verified this up to n = 4 (or 216 + 1).'],[1]
"[""What was Tesla's monthly consultant salary?""]","[""Westinghouse also hired Tesla for one year for the large fee of $2,000 ($52,700 in today's dollars) per month to be a consultant at the Westinghouse Electric & Manufacturing Company's Pittsburgh labs.""]",[1]
['In what year did Fresno become an incorporated city?'],['Fresno became an incorporated city in 1885.'],[1]
['When was the Upper Rhine sold to Burgundy?'],"[""The Alsace on the left banks of the Upper Rhine was sold to Burgundy by Archduke Sigismund of Austria in 1469 and eventually fell to France in the Thirty Years' War.""]",[1]
